COD_DIPL,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
01,Pas de scolarité ou arrêt avant la fin du primaire,,
02,Aucun diplôme et scolarité interrompue à la fin du primaire ou avant la fin du collège,,
03,Aucun diplôme et scolarité jusqu’à la fin du collège ou au-delà,,
11,CEP (certificat d’études primaires),,
12,"BEPC, brevet élémentaire, brevet des collèges, DNB",,
13,"CAP, BEP ou diplôme de niveau équivalent",,
14,"Baccalauréat général ou technologique, brevet supérieur, capacité en droit, DAEU, ESEU",,
15,"Baccalauréat professionnel, brevet professionnel, de technicien ou d’enseignement, diplôme équivalent",,
16,"BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme équivalent",,
17,"Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4",,
18,"Master, DEA, DESS, diplôme grande école niveau bac+5, doctorat de santé",,
19,Doctorat de recherche (hors santé),,
